rxn	n_core_models	native_op	native_unanimous	tecrdb_direction	tecrdb_match_tier	op_gc	op_eq	op_dgpms	op_graded	op_graded_trusted	op_graded_heldout
rxa45615	1531	=	True								
rxn00001	5419	>	True	>	stereo_exact	=	>	>	>	>	>
rxn00006	3970	<	True			>	>	>	>	>	>
rxn00011	5352	<	True			<	<	=	<	<	<
rxn00077	5398	=	True	=	stereo_exact	=	=	=	=	=	=
rxn00083	2875	>	True	=	stereo_exact	=	=	=	=	=	=
rxn00097	5502	=	True	=	stereo_exact	=	=	=	=	=	=
rxn00102	150	=	True			=	=	=	=	=	=
rxn00122	5476	>	True			=	>	=	=	=	=
rxn00147	2809	>	True	>	stereo_exact	>	>	>	>	>	>
rxn00148	5200	<	True	=	stereo_exact	=	=	=	=	=	=
rxn00151	1826	>	True	=	stereo_exact	>	=	=	=	=	=
rxn00157	1858	<	True	=	stereo_exact	=	=	=	=	=	=
rxn00159	1954	>	True			>	>	=	=	=	=
rxn00160	15	>	True			>	=	=	=	=	=
rxn00161	3964	>	True			>	>	>	>	>	>
rxn00162	710	>	True			>	>	>	>	>	>
rxn00171	4663	=	True	=	stereo_exact	=	=	=	=	=	=
rxn00172	941	<	True	=	stereo_exact	=	=	=	=	=	=
rxn00173	3806	=	True	=	stereo_exact	=	=	=	=	=	=
rxn00175	3991	>	True	=	stereo_exact	>	=	=	=	=	=
rxn00178	4128	>	True	=	stereo_exact	=	=	=	=	=	=
rxn00199	4535	>	True			>	>	>	>	>	>
rxn00206	4908	<	True			>		=	>	>	>
rxn00216	3552	=	True	=	stereo_exact	=	=	=	=	=	=
rxn00224	3214	=	True								
rxn00225	4186	=	True	=	stereo_exact	=	=	=	=	=	=
rxn00247	2603	>	True			>	>	>	>	>	>
rxn00248	4034	=	True	=	stereo_exact	=	=	=	=	=	=
rxn00250	7	=	True	=	stereo_exact	=	=	=	=	=	=
rxn00251	3190	=	True			=	=	=	=	=	=
rxn00256	4602	<	True	<	stereo_exact	<	<	<	<	<	<
rxn00265	799	>	True	=	stereo_exact	=	=	=	=	=	=
rxn00285	4352	=	True	=	stereo_exact	=	=	=	=	=	=
rxn00288	3469	>	True			=	<	=	=	=	=
rxn00305	1333	>	True			>	>	>	>	>	>
rxn00324	1887	<	True			=	<	=	<	<	<
rxn00330	2544	<	True			<	<	<	<	<	<
rxn00336	2365	>	True	=	stereo_exact	=	=	=	=	=	=
rxn00371	2803	>	True			>	>	>	>	>	>
rxn00379	3762	=	True	<	stereo_exact	=	<	<	<	<	<
rxn00392	5186	=	True			=	=		=	=	=
rxn00441	3788	>	True			>	>	>	>	>	>
rxn00459	5582	=	True	=	stereo_exact	=	=	=	=	=	=
rxn00499	3535	=	True	=	stereo_exact	=	=	=	=	=	=
rxn00500	2180	=	True	=	stereo_exact	=	=	=	=	=	=
rxn00506	3655	>	True			=	>	>	>	>	>
rxn00507	2492	>	True			=	>	>	>	>	>
rxn00512	1887	<	True	=	stereo_exact	=	<	<	=	=	<
rxn00543	4740	=	True	=	stereo_exact	=	=	=	=	=	=
rxn00544	900	<	True			=	=	=	=	=	=
rxn00545	3250	>	True	=	stereo_exact	=	=	=	=	=	=
rxn00548	1298	=	True			>	>	>	>	>	>
rxn00549	4682	>	True	>	stereo_exact	=	>	>	>	>	>
rxn00558	5378	=	True	=	stereo_exact	=	=	=	=	=	=
rxn00568	2826	<	True			<	<	<	<	<	<
rxn00569	2603	<	True			<	<	<	<	<	<
rxn00602	2056	<	True	=	stereo_exact	=	=	=	=	=	=
rxn00604	3909	>	True	=	stereo_exact	=	=	=	=	=	=
rxn00611	5156	=	True	=	stereo_exact	=	=	=	=	=	=
rxn00612	5156	=	True			=	=	=	=	=	=
rxn00615	4152	>	True			=	=	=	=	=	=
rxn00616	3842	=	True			=	=	=	=	=	=
rxn00623	2469	<	True			=	<	<	<	<	<
rxn00668	2095	=	True			=	>	=	=	=	=
rxn00670	3808	=	True			=	=	=	=	=	=
rxn00678	99	=	True	=	skeleton	=	=	=	=	=	=
rxn00747	5562	=	True	=	stereo_exact	=	=	=	=	=	=
rxn00748	2116	>	True			>	>	>	>	>	>
rxn00762	1424	=	True	=	stereo_exact	=	=	=	=	=	=
rxn00763	4650	=	True			=	=	=	=	=	=
rxn00770	5538	=	True	=	stereo_exact	=	=	=	=	=	=
rxn00777	5607	=	True	=	stereo_exact	=	=	=	=	=	=
rxn00779	14	>	True			=	>	>	>	>	>
rxn00781	5582	=	True	<	stereo_exact	=	<	<	<	<	<
rxn00782	358	<	True			=	<	<	<	<	<
rxn00785	5292	=	True	=	stereo_exact	=	=	=	=	=	=
rxn00786	5370	=	True	=	stereo_exact	=	=	=	=	=	=
rxn00799	5031	=	True	=	stereo_exact	=	=	=	=	=	=
rxn00868	1542	<	True			=	<	<	<	<	<
rxn00869	2121	<	True			=	<	<	<	<	<
rxn00871	90	>	True			=	=	=	=	=	=
rxn00874	4110	=	True			=	=	=	=	=	=
rxn00875	935	>	True			=	=	=	=	=	=
rxn00935	1852	=	True			=	=	=	=	=	=
rxn00974	4747	=	True	=	stereo_exact	=	=	=	=	=	=
rxn00985	4186	=	True			=	=	=	=	=	=
rxn00990	935	>	True	=	stereo_exact	=	=	=	=	=	=
rxn00994	915	<	True			=	=	=	=	=	=
rxn00995	377	>	True			>	>	>	>	>	>
rxn01057	24	=	True			=	=	=	=	=	=
rxn01100	5574	=	True	=	stereo_exact	=	=	=	=	=	=
rxn01106	5585	=	True	=	stereo_exact	=	=	=	=	=	=
rxn01115	3615	>	True			>	>	>	>	>	>
rxn01116	5291	=	True	=	stereo_exact	=	=	=	=	=	=
rxn01121	545	>	True			>	>	>	>	>	>
rxn01123	2522	>	True			=	=	=	=	=	=
rxn01130	377	>	True	=	stereo_exact	=	=	=	=	=	=
rxn01187	1298	>	True			>	>	>	>	>	>
rxn01200	5292	=	True	=	stereo_exact	=	=	=	=	=	=
rxn01236	68	<	True			=	=	=	=		=
rxn01241	5162	=	True	=	skeleton	=	=	=	=	=	=
rxn01274	2667	>	True			=	>	=	>	>	>
rxn01275	2759	>	True			=	=	=	=	=	=
rxn01333	4787	=	True	=	stereo_exact	=	=	=	=	=	=
rxn01334	5176	=	True			=	=	=	=	=	=
rxn01343	3247	>	True			=	=	=	=	=	=
rxn01387	4535	=	True			=	=	=	=	=	=
rxn01388	4747	=	True	=	stereo_exact	=	=	=	=	=	=
rxn01452	2541	<	True			=	=	=	=	=	=
rxn01476	3839	>	True			=	>	=	=	=	=
rxn01477	1714	>	True			>	>	>	>	>	>
rxn01480	3212	=	True	=	stereo_exact	=	=	=	=	=	=
rxn01806	1451	>	True					>	>		>
rxn01834	3461	=	True	=	stereo_exact	=	=	>	=	=	>
rxn01870	4493	=	True	=	stereo_exact	=	=	=	=	=	=
rxn01871	4512	<	True			=	=	=	=	=	=
