model_id,error,n_unique_reactions,n_unique_compounds,n_reactions_with_direction_gc,n_reactions_with_direction_eq,n_reactions_with_direction_dgpms,n_reactions_with_direction_graded,n_reactions_with_direction_graded_trusted,n_reactions_with_direction_graded_heldout,fba_n_overrides_implicit,fba_n_bounds_changed_implicit,fba_status_implicit,fba_growth_flux_implicit,fba_grows_implicit,fba_n_overrides_gc,fba_n_bounds_changed_gc,fba_status_gc,fba_growth_flux_gc,fba_grows_gc,fba_n_overrides_eq,fba_n_bounds_changed_eq,fba_status_eq,fba_growth_flux_eq,fba_grows_eq,fba_n_overrides_dgpms,fba_n_bounds_changed_dgpms,fba_status_dgpms,fba_growth_flux_dgpms,fba_grows_dgpms,fba_n_overrides_graded,fba_n_bounds_changed_graded,fba_status_graded,fba_growth_flux_graded,fba_grows_graded,fba_n_overrides_graded_trusted,fba_n_bounds_changed_graded_trusted,fba_status_graded_trusted,fba_growth_flux_graded_trusted,fba_grows_graded_trusted,fba_n_overrides_graded_heldout,fba_n_bounds_changed_graded_heldout,fba_status_graded_heldout,fba_growth_flux_graded_heldout,fba_grows_graded_heldout
GCF_000005825.2,,145,127,132,108,135,136,122,136,0,0,optimal,60.95058532878798,True,132,46,optimal,99.56428181172157,True,108,27,optimal,40.6337235525252,True,135,45,optimal,40.633723552525616,True,136,44,optimal,40.633723552525225,True,122,32,optimal,40.63372355252522,True,136,43,optimal,40.633723552525225,True
GCF_000005845.2,,178,151,157,134,164,165,140,165,0,0,optimal,81.09450129376937,True,157,59,optimal,109.95680896543847,True,134,37,optimal,60.95058532878778,True,164,64,optimal,81.26744710505055,True,165,59,optimal,81.26744710505045,True,140,41,optimal,81.2674471050499,True,165,60,optimal,81.26744710505045,True
GCF_000006175.1,,64,84,52,37,56,56,54,56,0,0,optimal,0.0,False,52,10,optimal,0.0,False,37,3,optimal,0.0,False,56,12,optimal,0.0,False,56,11,optimal,0.0,False,54,11,optimal,0.0,False,56,11,optimal,0.0,False
GCF_000006605.1,,112,121,105,84,106,107,99,107,0,0,optimal,9.633235742232987,True,105,33,optimal,43.356611016047616,True,84,18,optimal,9.810700570354875,True,106,34,optimal,24.36425536338471,True,107,32,optimal,10.32300262286849,True,99,25,optimal,10.32300262286849,True,107,32,optimal,10.32300262286849,True
GCF_000006625.1,,48,62,46,31,47,48,48,48,0,0,optimal,0.0,False,46,11,optimal,0.0,False,31,3,optimal,0.0,False,47,9,optimal,0.0,False,48,9,optimal,0.0,False,48,9,optimal,0.0,False,48,9,optimal,0.0,False
GCF_000006645.1,,160,143,142,122,147,148,129,148,0,0,optimal,71.95098698766266,True,142,52,optimal,103.43828871695135,True,122,29,optimal,53.96324024074558,True,147,54,optimal,62.06297323017138,True,148,49,optimal,62.06297323017052,True,129,35,optimal,62.062973230171124,True,148,49,optimal,62.06297323017138,True
GCF_000006685.1,,72,89,63,42,65,66,62,66,0,0,optimal,0.0,False,63,18,optimal,0.0,False,42,6,optimal,0.0,False,65,19,optimal,0.0,False,66,17,optimal,0.0,False,62,15,optimal,0.0,False,66,17,optimal,0.0,False
GCF_000006725.1,,102,108,92,71,93,94,86,94,0,0,optimal,34.245519829870716,True,92,29,optimal,40.970726656808694,True,71,15,optimal,24.100427445181307,True,93,30,optimal,25.811613935690524,True,94,27,optimal,25.81161393569046,True,86,20,optimal,25.811613935690122,True,94,28,optimal,25.81161393569046,True
GCF_000006745.1,,155,141,139,115,142,143,128,143,0,0,optimal,77.85433454007548,True,139,50,optimal,103.43828871695213,True,115,27,optimal,59.643214292104574,True,142,50,optimal,62.06297323017089,True,143,46,optimal,62.06297323017104,True,128,35,optimal,62.06297323017104,True,143,47,optimal,62.06297323017104,True
GCF_000006765.1,,173,140,150,123,154,155,134,155,0,0,optimal,82.4558131982581,True,150,56,optimal,138.07066331029432,True,123,28,optimal,62.06297323017119,True,154,56,optimal,86.9033915051264,True,155,51,optimal,72.87456136454479,True,134,35,optimal,72.87456136454549,True,155,51,optimal,72.87456136454504,True
