model_id,n_rxn,n_with_seed_anno,n_match_msdb,n_diff,n_msdb_missing
GCF_003261575.2,187,187,107,66,14
GCF_009688965.1,148,148,78,48,22
GCF_000522545.2,179,179,101,60,18
GCF_000007845.1,161,161,88,57,16
GCF_003441595.1,153,153,87,48,18
GCF_000021805.1,116,116,69,32,15
GCF_000008525.1,87,87,47,22,18
GCF_000011305.1,132,132,78,38,16
GCF_000015745.1,154,154,84,54,16
GCF_000016745.1,122,122,67,37,18
GCF_000025265.1,141,141,74,51,16
GCF_000756615.1,149,149,89,44,16
GCF_000283635.1,74,74,48,10,16
GCF_000632475.1,181,181,101,64,16
GCF_000014405.1,73,73,45,12,16
GCF_000599545.1,167,167,92,58,17
GCF_000014425.1,79,79,44,18,17
GCF_000021045.1,167,167,98,52,17
GCF_000195855.1,114,114,62,35,17
GCF_000008165.1,162,162,90,57,15
GCF_000007465.2,81,81,52,13,16
GCF_000233715.2,126,126,69,37,20
GCF_009688985.1,126,126,68,37,21
GCF_000270285.1,100,100,57,28,15
GCF_008805035.1,86,86,52,16,18
GCF_002022605.1,87,87,52,17,18
GCF_012222825.1,108,108,63,28,17
GCF_000284095.1,115,115,61,35,19
GCF_000024945.1,102,102,58,26,18
GCF_002021985.1,102,102,58,27,17
GCF_001688905.2,100,100,61,23,16
GCF_900186975.1,102,102,56,28,18
GCF_000020525.1,102,102,61,25,16
GCF_001688725.2,96,96,54,26,16
GCF_000023745.1,111,111,63,32,16
GCF_001020955.1,103,103,61,25,17
GCF_002127965.1,90,90,59,15,16
GCF_001880285.1,117,117,66,36,15
GCF_000241025.1,123,123,67,38,18
GCF_000507245.1,114,114,65,32,17
GCF_001262075.1,111,111,65,29,17
GCF_001888165.1,108,108,67,26,15
GCF_003073475.1,106,106,59,29,18
GCF_000020545.1,112,112,62,31,19
GCF_000025945.1,106,106,58,27,21
GCF_005221305.1,117,117,73,29,15
GCF_000253035.1,119,119,67,36,16
GCF_001042635.1,94,94,59,20,15
GCF_000179915.2,113,113,63,33,17
GCF_000194135.1,96,96,52,28,16
GCF_001746835.1,110,110,61,33,16
GCF_008118345.1,122,122,64,42,16
GCF_000266885.1,121,121,72,34,15
GCF_000525675.1,96,96,53,26,17
GCF_000746585.1,87,87,51,19,17
GCF_000599985.1,120,120,71,34,15
GCF_004114615.1,122,122,65,39,18
GCF_009649955.1,114,114,66,30,18
GCF_000298115.2,95,95,54,25,16
GCF_000143845.1,99,99,60,22,17
GCF_000183405.1,104,104,63,24,17
GCF_001659705.1,105,105,56,34,15
GCF_001021065.1,124,124,71,35,18
GCF_000307165.1,96,96,56,23,17
GCF_000284315.1,99,99,60,21,18
GCF_003261295.1,109,109,63,31,15
GCF_001610875.1,132,132,77,40,15
GCF_002302395.1,102,102,60,25,17
GCF_003966365.1,125,125,70,38,17
GCF_000973725.1,122,122,71,34,17
GCF_000196135.1,94,94,52,26,16
GCF_000196355.1,103,103,64,23,16
GCF_000009905.1,128,128,74,36,18
GCF_000018865.1,122,122,67,38,17
GCF_000014005.1,134,134,72,44,18
GCF_002162355.1,121,121,68,37,16
GCF_001443605.1,120,120,65,37,18
GCF_000009985.1,138,138,77,40,21
GCF_000025185.1,132,132,73,43,16
GCF_000227745.2,136,136,74,43,19
GCF_000092365.1,107,107,61,29,17
GCF_003660165.1,127,127,69,43,15
GCF_000183745.1,124,124,67,39,18
GCF_004551665.1,121,121,76,30,15
GCF_003097575.1,111,111,60,34,17
GCF_003143555.1,127,127,71,39,17
GCF_000953635.1,124,124,71,35,18
GCF_000014285.1,130,130,74,39,17
GCF_000177635.2,114,114,67,32,15
GCF_001682195.2,138,138,80,42,16
GCF_000766665.1,115,115,67,31,17
GCF_000006725.1,102,102,62,24,16
GCF_009662475.1,105,105,63,26,16
GCF_002005425.1,121,121,69,36,16
GCF_010669225.1,110,110,61,32,17
GCF_000014965.1,133,133,75,38,20
GCF_000022565.1,120,120,64,40,16
GCF_000725345.1,146,146,76,51,19
GCF_000180175.2,131,131,75,40,16
GCF_004299785.2,93,93,49,27,17
