> Figure registry. One row per FIGURE SET: the output directory, the script that
> writes it, the exact argv, and whether its point colour uses the reversibility-
> transition categories (so a change to that definition can be regenerated by
> group). Lines starting with '>' are comments.
>
> Regenerate with scripts/regen_figures.py:
>     python3 scripts/regen_figures.py --list
>     python3 scripts/regen_figures.py --all
>     python3 scripts/regen_figures.py --tag transition       # only the coloured scatters
>     python3 scripts/regen_figures.py kegg_fix_impact thermo_source_dg_scatter
>
> Adding a new figure: add a row here in the same call that creates the script.
> An unregistered figure is a figure nobody can regenerate.
>
name	script	args	tags
thermo_source_dg_scatter	plot_thermo_source_dg_scatter.py		transition,scatter
thermo_source_dg_scatter_core239	plot_thermo_source_dg_scatter.py	--subset results/core_models_unique_reactions.json --out-subdir thermo_source_dg_scatter_core239 --subset-label "  ·  239 core-model reactions"	transition,scatter
thermo_source_dg_scatter_filtered	plot_thermo_source_dg_scatter_filtered.py		transition,scatter,slow
thermo_source_dg_scatter_subtractive	plot_thermo_source_dg_scatter_subtractive.py		transition,scatter,slow
dgpredictor_base_vs_finetuned	plot_dgpredictor_base_vs_finetuned.py		transition,scatter
kegg_fix_impact	plot_kegg_fix_impact.py		transition,scatter
eq_vs_dgp	plot_eq_vs_dgpredictor.py		scatter
eq_vs_dgpms	plot_eq_dgp_topdown.py		scatter
eq_vs_dgpms_biological	plot_eq_dgp_biological_scatter.py		scatter
eq_vs_dgpms_consensus	plot_thermo_consensus.py		scatter
eq_vs_dgpms_assignment	plot_thermo_source_assignment.py		scatter
thermo_agreement	plot_thermo_agreement_findings.py		scatter
thermo_agreement_3d	plot_thermo_dg_3d_clusters.py		scatter
thermo_source_coverage_bars	plot_thermo_source_coverage_bars.py		bars
thermo_source_growth_bars	plot_thermo_source_growth_bars.py		bars
graded_fba	plot_graded_fba.py		bars
thermo_method_flowcharts	plot_method_flowcharts.py		diagram
